d_host_has_profile_pic,d_host_identity_verified,f_neighbourhood,f_property_type,n_accommodates,n_bathroom,n_bedrooms,n_beds,price,n_minimum_nights,n_maximum_nights,d_instant_bookable,f_bathroom,am_backyard,am_baking sheet,am_bathtub,am_bed linens,am_cable tv,am_carbon monoxide alarm,am_children\u2019s books and toys,am_cleaning products,am_clothing storage: wardrobe,am_coffee maker,am_cooking basics,am_crib,am_dedicated workspace,am_dining table,am_dishes and silverware,am_dishwasher,am_drying rack for clothing,am_elevator,am_essentials,am_ethernet connection,am_extra pillows and blankets,am_fire extinguisher,am_first aid kit,am_free parking on premises,am_free street parking,am_freezer,am_hangers,am_heating,am_high chair,am_host greets you,am_hot water,am_hot water kettle,am_iron,am_kitchen,am_lockbox,am_long term stays allowed,am_luggage dropoff allowed,am_microwave,am_nespresso machine,am_pack \u2019n play/travel crib,am_paid parking off premises,am_paid parking on premises,am_patio or balcony,am_portable fans,am_private entrance,am_room-darkening shades,am_security cameras on property,am_shower gel,am_single level home,am_smart lock,am_smoke alarm,am_toaster,am_washer,am_wine glasses,am__tv,n_dist_from_center,f_beds,f_bedrooms,f_minimum_nights,f_maximum_nights
1,1,Landstrasse,Apartment,4,1.0,1,2,51.0,2,365,1,1,0,0,0,1,1,0,0,0,0,1,1,1,1,0,1,0,0,1,1,1,0,0,0,0,0,0,1,1,1,1,1,0,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,2.3042740010919176,2,1.0,2.0,3.0
1,1,Favoriten,Apartment,6,1.0,1,3,56.0,2,365,1,1,0,0,0,1,1,0,0,0,0,1,1,1,1,0,1,1,0,0,1,1,0,0,0,0,1,0,1,1,1,1,1,0,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,4.026909565241894,3,2.0,2.0,3.0
1,1,Innere Stadt,Apartment,5,1.0,2,5,150.0,3,365,0,1,0,0,0,1,1,0,0,0,0,1,1,1,0,0,1,1,0,0,1,0,1,1,0,0,0,0,1,1,0,0,1,0,1,1,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0.46780211072468714,4,2.0,3.0,3.0
1,1,Wahring,Apartment,2,1.5,1,1,79.0,3,180,0,2,0,0,0,1,1,0,0,0,0,1,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,1,1,0,1,1,0,1,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,5.5675046468907805,1,0.0,3.0,2.0
1,1,Wieden,Condo,5,1.0,2,5,58.0,1,60,1,1,0,1,1,1,1,0,1,1,0,1,1,0,1,1,1,0,1,1,1,0,1,0,0,0,0,0,1,0,0,1,1,1,1,1,0,1,1,1,0,0,1,0,0,1,1,1,0,1,1,0,0,1,0,1,1,2.307326367957342,4,2.0,1.0,2.0
1,1,Leopoldstadt,Apartment,5,1.0,1,0,28.0,5,1125,0,1,0,0,0,0,1,1,0,0,0,1,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,1,1,1,0,1,0,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2.3747449099843543,0,,3.0,
1,1,Landstrasse,Apartment,5,1.0,1,2,45.0,4,1125,1,1,0,0,0,1,1,1,0,1,0,1,1,1,1,0,1,1,0,0,1,1,1,0,1,1,0,0,1,1,1,0,1,0,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2.0604117519442826,2,1.0,3.0,
1,1,Mariahilf,Apartment,5,1.0,1,2,91.0,2,90,0,1,0,0,0,0,1,0,0,0,0,1,1,1,1,0,1,1,0,0,1,0,0,1,1,0,0,0,1,1,1,0,1,0,1,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,2.8140557639578825,2,1.0,2.0,2.0
1,1,Mariahilf,Apartment,6,1.5,1,3,93.0,2,120,1,2,1,0,1,1,1,1,1,0,0,1,1,1,1,0,1,1,0,0,1,0,1,1,0,0,0,0,1,1,0,0,1,0,1,1,1,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,1,0,1,3.0029667156465614,3,2.0,2.0,2.0
1,1,Simmering,Apartment,4,1.0,1,1,65.0,7,180,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,4.5728444927946255,1,0.0,3.0,2.0
